  Node  id  | Distance | Name
 1193548807 |  3149.39 | Plaça d&apos;Espanya
   26057052 |  3156.11 | Plaça d&apos;Espanya
  534633415 |  3161.44 | Plaça d&apos;Espanya
   26057049 |  3168.38 | Avinguda Reina Maria Cristina;Plaça d&apos;Espanya
  803435595 |  3180.43 | Plaça d&apos;Espanya
   26057053 |  3192.10 | Plaça d&apos;Espanya
  168319807 |  3201.78 | Plaça d&apos;Gran Via de les Corts Catalanes
 1193548729 |  3220.57 | Plaça d&apos;Espanya
   26057050 |  3237.03 | Plaça d&apos;Gran Via de les Corts Catalanes
  771231898 |  3257.55 | Gran Via de les Corts Catalanes
  760332218 |  3325.06 | Gran Via de les Corts Catalanes
  178518958 |  3340.70 | Carrer de Leiva;Carretera de la Bordeta
  760332200 |  3520.45 | Gran Via de les Corts Catalanes
  760332216 |  3535.20 | Carrer de Sant Roc;Gran Via de les Corts Catalanes
  760332225 |  3692.65 | Gran Via de les Corts Catalanes
  760332206 |  3710.90 | Carrer del Farell;Gran Via de les Corts Catalanes
  760332209 |  3795.77 | Gran Via de les Corts Catalanes
  760332213 |  3813.92 | Carrer de Sant Pere d&apos;Gran Via de les Corts Catalanes
  760332211 |  3908.03 | Gran Via de les Corts Catalanes
  760332217 |  3957.24 | Gran Via de les Corts Catalanes
  760332202 |  3984.99 | Carrer Moianes;Gran Via de les Corts Catalanes
  760332222 |  4032.04 | Gran Via de les Corts Catalanes
  760332215 |  4146.63 | Gran Via de les Corts Catalanes
  760332203 |  4210.69 | Gran Via de les Corts Catalanes
  760332148 |  4312.71 | Gran Via de les Corts Catalanes
 1121909773 |  4340.07 | Carrer de Mossèn Amadeu Oller;Gran Via de les Corts Catalanes
 1309411136 |  4386.66 | Gran Via de les Corts Catalanes
  168318375 |  4750.74 | Gran Via de les Corts Catalanes
  365549376 |  4873.42 | Gran Via de les Corts Catalanes
  365549379 |  4983.15 | Gran Via;Gran Via de les Corts Catalanes
  178534461 |  5082.28 | Gran Via
  365549382 |  5190.35 | Gran Via
  931110867 |  5246.30 | Gran Via
  365549386 |  5388.98 | Gran Via
  931110777 |  5645.92 | Gran Via
  598702099 |  5806.45 | Gran Via
  178534458 |  5913.92 | Gran Via
  365549389 |  6261.12 | Gran Via
  981789378 |  6287.97 | Gran Via
  365549391 |  6385.73 | Gran Via
  365549392 |  6470.66 | Gran Via
  365549394 |  6599.69 | Gran Via
  981789538 |  6626.67 | Gran Via
  365549396 |  6753.78 | Gran Via
